ano,semana,interes_gripe
2021,36,13
2021,37,15
2021,38,19
2021,39,29
2021,40,38
2021,41,65
2021,42,100
2021,43,94
2021,44,63
2021,45,70
2021,46,64
2021,47,64
2021,48,57
2021,49,67
2021,50,78
2021,51,88
2021,52,88
2022,1,99
2022,2,69
2022,3,42
2022,4,39
2022,5,20
2022,6,24
2022,7,22
2022,8,15
2022,9,24
2022,10,28
2022,11,27
2022,12,43
2022,13,35
2022,14,41
2022,15,42
2022,16,40
2022,17,45
2022,18,36
2022,19,36
2022,20,36
2022,21,31
2022,22,25
2022,23,26
2022,24,21
2022,25,25
2022,26,20
2022,27,19
2022,28,10
2022,29,12
2022,30,12
2022,31,8
2022,32,10
2022,33,11
2022,34,24
2022,35,22
2022,36,21
2022,37,22
2022,38,32
2022,39,42
2022,40,60
2022,41,77
2022,42,100
2022,43,69
2022,44,77
2022,45,78
2022,46,76
2022,47,68
2022,48,71
2022,49,77
2022,50,81
2022,51,64
2022,52,70
2023,1,64
2023,2,52
2023,3,36
2023,4,45
2023,5,46
