desc_var,nombre_var,grupo,n
Consultorios de Salud,consultorios_de_salud,Salud,156
Helisuperficies,helisuperficies,Transporte,87
Centros de Atención a Drogodependientes,centros_de_atencion_a_drogodependientes,Salud,35
Centros de Salud,centros_de_salud,Salud,267
Estaciones de Cercanías,estaciones_de_cercanias,Transporte,93
Hospitales,hospitales,Salud,87
Otros Centros de Salud,otros_centros_de_salud,Salud,29
Centros de Salud Mental,centros_de_salud_mental,Salud,53
Centros de Especialidades,centros_de_especialidades,Salud,28
Bocas de metro,bocas_de_metro,Transporte,771
Intercambiadores,intercambiadores,Transporte,24
Aeropuertos,aeropuertos,Transporte,3
