desc_var,nombre_var,Grupo,n
ayuntamientos_consejerias_ministerios_etc,ayuntamientos_consejerias_ministerios_etc,NA,NA
sanidad_y_servicios_sociales,sanidad_y_servicios_sociales,NA,NA
actividades_administrativas,actividades_administrativas,NA,NA
actividades_asociativas_y_hogares,actividades_asociativas_y_hogares,NA,NA
actividades_profesionales,actividades_profesionales,NA,NA
administraciones_publicas,administraciones_publicas,NA,NA
alimentacion,alimentacion,NA,NA
centros_educativos_no_universitarios_centros_publicos,centros_educativos_no_universitarios_centros_publicos,NA,NA
comercio_mayorista,comercio_mayorista,NA,NA
comercio_minorista,comercio_minorista,NA,NA
construccion,construccion,NA,NA
educacion,educacion,NA,NA
hosteleria,hosteleria,NA,NA
industria_quimica_y_refino,industria_quimica_y_refino,NA,NA
informacion_y_comunicaciones,informacion_y_comunicaciones,NA,NA
maquinaria_industrial,maquinaria_industrial,NA,NA
material_de_transporte,material_de_transporte,NA,NA
material_electrico_y_electronico,material_electrico_y_electronico,NA,NA
mercadillos,mercadillos,NA,NA
metalicas_basicas_e_intermedias,metalicas_basicas_e_intermedias,NA,NA
mineria_y_suministros,mineria_y_suministros,NA,NA
otras_manufactureras,otras_manufactureras,NA,NA
otros_servicios_bancos,otros_servicios_bancos,NA,NA
papel_y_graficas,papel_y_graficas,NA,NA
servicios_financieros,servicios_financieros,NA,NA
servicios_personales,servicios_personales,NA,NA
servicios_recreativos,servicios_recreativos,NA,NA
textil_confeccion_y_calzado,textil_confeccion_y_calzado,NA,NA
transporte_y_almacenamiento,transporte_y_almacenamiento,NA,NA
actividades_inmobiliarias,actividades_inmobiliarias,NA,NA
centros_educativos_no_universitarios_centros_privados,centros_educativos_no_universitarios_centros_privados,NA,NA
industria_no_metalica,industria_no_metalica,NA,NA
administracion_de_justicia,administracion_de_justicia,NA,NA
agencia_tributaria,agencia_tributaria,NA,NA
campus_universitarios,campus_universitarios,NA,NA
centros_educativos_universitarios,centros_educativos_universitarios,NA,NA
colegios_mayores,colegios_mayores,NA,NA
galerias_de_alimentacion,galerias_de_alimentacion,NA,NA
grandes_superficies_especializadas,grandes_superficies_especializadas,NA,NA
hipermercados,hipermercados,NA,NA
mercados_de_abastos,mercados_de_abastos,NA,NA
agricultura_y_ganaderia,agricultura_y_ganaderia,NA,NA
centros_educativos_no_universitarios_servicios_educativos,centros_educativos_no_universitarios_servicios_educativos,NA,NA
seguridad_social,seguridad_social,NA,NA
centros_comerciales,centros_comerciales,NA,NA
oficinas_de_empleo,oficinas_de_empleo,NA,NA
embajadas_y_consulados,embajadas_y_consulados,NA,NA
