grupo,anyo,inversion
INFRAESTRUCTURAS,2017,1055334364.6800001
INFRAESTRUCTURAS,2018,1208736964.4399998
INFRAESTRUCTURAS,2019,1635747072.64
INFRAESTRUCTURAS,2020,797650078.2
INFRAESTRUCTURAS,2021,910113153.15
INFRAESTRUCTURAS,2022,1115739144.01
RESTO,2017,1155102383.82
RESTO,2018,1698651337.2400002
RESTO,2019,2172816093.06
RESTO,2020,2268439968.61
RESTO,2021,2478376394.6899996
RESTO,2022,2562333871.88
SANIDAD,2017,30974206.49
SANIDAD,2018,37710643.94
SANIDAD,2019,41610212.68
SANIDAD,2020,45024153.7
SANIDAD,2021,51349335.800000004
SANIDAD,2022,78621790.57000001
TURISMO,2017,46624153.41
TURISMO,2018,101817310.83
TURISMO,2019,74308410.12
TURISMO,2020,30157607.03
TURISMO,2021,54059438.769999996
TURISMO,2022,108595517.28999999
