ano,semana,tuits_gripe,interes_gripe
2021,36,97,13
2021,37,79,15
2021,38,112,19
2021,39,143,29
2021,40,112,38
2021,41,130,65
2021,42,254,100
2021,43,190,94
2021,44,198,63
2021,45,160,70
2021,46,206,64
2021,47,280,64
2021,48,312,57
2021,49,220,67
2021,50,262,78
2021,51,300,88
2021,52,780,88
2022,1,380,99
2022,2,508,69
2022,3,382,42
2022,4,218,39
2022,5,144,20
2022,6,96,24
2022,7,854,22
2022,8,56,15
2022,9,72,24
2022,10,96,28
2022,11,78,27
2022,12,134,43
2022,13,154,35
2022,14,106,41
2022,15,122,42
2022,16,94,40
2022,17,104,45
2022,18,122,36
2022,19,84,36
2022,20,118,36
2022,21,122,31
2022,22,52,25
2022,23,64,26
2022,24,46,21
2022,25,76,25
2022,26,70,20
2022,27,80,19
2022,28,94,10
2022,29,54,12
2022,30,60,12
2022,31,62,8
2022,32,34,10
2022,33,34,11
2022,34,60,24
2022,35,76,22
2022,36,86,21
2022,37,64,22
2022,38,98,32
2022,39,126,42
2022,40,112,60
2022,41,176,77
2022,42,180,100
2022,43,270,69
2022,44,218,77
2022,45,192,78
2022,46,200,76
2022,47,200,68
2022,48,224,71
2022,49,196,77
2022,50,182,81
2022,51,266,64
2022,52,204,70
2023,1,24,64
2023,2,138,52
2023,3,132,36
2023,4,102,45
2023,5,124,46
